Substrate,Enzyme,Time,alphaNH
10,3,0,0.0
10,3,5,0.017127072006889774
10,3,10,0.44588125465230993
10,3,15,0.874771022480608
10,3,20,1.303117417941005
10,3,25,1.7323881578018292
10,3,30,2.1611968530762136
10,3,35,2.5895414295948616
10,3,40,3.0130292546950557
10,3,45,3.222886950536154
10,3,50,3.3706829173801043
10,3,55,3.5985069946315615
10,3,70,3.904388482442707
10,3,75,4.334264452685636
10,3,80,4.634881444427215
10,3,125,4.701394910990642
10,3,130,4.983162902699523
10,3,135,5.395701838561253
10,3,140,5.825579094056507
10,3,145,6.250032679511866
10,3,150,6.496032035379617
10,3,155,6.632887082492987
10,3,165,6.733229448405204
10,3,170,6.807583316935607
10,3,200,6.900243537009113
10,3,205,6.939890144849316
10,3,210,6.966865380646978
10,3,215,7.006685826864185
10,3,220,7.111794577104329
10,3,225,7.241326735756972
10,3,230,7.24412309968918
10,3,235,7.349011216283777
10,3,240,7.371701277711193
10,3,245,7.387581740565612
10,3,250,7.5079174004751215
10,3,255,7.753125872021901
10,3,260,7.84537124695749
10,3,360,8.065020373256758
10,3,365,8.33552099898207
10,3,370,8.60724295452501
10,3,375,8.951925265426258
10,3,380,9.3078566771644
10,3,385,9.50497876072544
10,3,390,9.562364800722607
10,3,400,9.57889022752795
10,3,405,9.816027570750432
10,3,410,10.03410424053143
10,3,415,10.153786164273233
10,3,430,10.228809288312162
10,3,435,10.318224672977387
10,3,440,10.51310204330317
10,3,445,10.62435083906745
10,3,490,10.63450365196188
10,3,495,10.69776314936053
10,3,525,10.735250052281902
10,3,530,10.807450689795347
10,3,535,10.901269881958214
10,3,540,11.058453195549223
10,3,545,11.21474477502899
10,3,550,11.24645958993437
10,3,560,11.348401437673585
10,3,565,11.35873037343826
10,3,575,11.454192908441362
10,3,580,11.495267327227564
10,3,585,11.616949267309392
10,3,590,11.864633856592963
10,3,595,11.96461922495291
10,3,600,12.033565990950885
10,3,705,12.171170448422773
10,3,710,12.34811685067561
10,3,715,12.591135137785763
10,3,730,12.609549490922443
10,3,735,12.757808971680934
10,3,1010,12.925291303414301
10,3,1015,13.112456561561052
10,3,1025,13.123639444661963
10,3,1030,13.155729167759963
10,3,1035,13.197304851367495
10,3,1070,13.221709181172164
10,3,1080,13.313003023647164
10,3,1095,13.460521537199158
10,3,1385,13.477122817409006
10,3,1390,13.501909815465172
10,3,1395,13.539612679708394
10,3,1410,13.575601777395109
10,3,1415,13.69195640520313
10,3,1420,13.794650018696725
10,3,1425,13.803023361261824
10,3,1440,13.841235593654181
10,3,1450,13.93305931156573
10,3,1460,14.117539799899555
10,3,1465,14.170510066321636
10,3,1485,14.17400969108255
10,3,1930,14.299008121154916
10,3,1935,14.390497559974316
10,3,1940,14.484553702876276
10,3,1945,14.481817533535814
10,3,1985,14.57172837061708
10,3,1990,14.568834608587636
10,3,2000,14.620374760362008
10,3,4155,14.669668507186094
10,3,4160,14.771084201963022
10,3,4165,14.876392288628722
10,3,4255,14.897677284852188
10,3,4265,14.908726207945094
10,3,4285,14.961460242671537
10,3,4290,15.09083604531195
10,3,4295,15.138425173538925
10,3,4300,15.152163136577894
10,3,4305,15.22289152057516
10,3,4340,15.222427532805488
10,3,4345,15.25030394222834
10,3,4365,15.280370602944805
10,3,4560,15.282941252702765
10,3,4565,15.30962689521285
10,3,4575,15.337781780872591
10,3,4590,15.344636846893822
10,3,4600,15.401997094481812
10,3,4610,15.41918568987468
10,3,4620,15.506553956487029
10,3,4625,15.539577786872508
10,3,4630,15.617109982705662
10,3,4700,15.677964432176061
10,3,4705,15.761988908737143
10,3,4710,15.833917184159011
10,3,4715,15.892642709991792
10,3,4985,15.891872162430872
10,3,4990,15.919283757363912
10,3,4995,15.926993268438828
10,3,5015,15.930419717805464
10,3,5020,15.999307616589853
10,3,5025,16.025010003721917
10,3,5030,16.130818164082235
10,3,5035,16.1976443706256
10,3,5250,16.2555041014645
10,3,5255,16.30518761728064
10,3,5260,16.333027518384508
10,3,5265,16.358725888634236
10,3,10105,16.408430707726307
10,3,10110,16.442729266897977
10,3,10120,16.48388753790398
10,3,10135,16.52204468498246
10,3,10140,16.576493647667487
10,3,10145,16.74033742171932
10,3,10150,16.819584685796688
10,3,10155,16.896327711943297
10,3,10160,16.95037871759929
10,3,10170,16.96376215372414
10,3,10470,17.00651183328228
10,3,10525,17.048527568267573
10,3,10530,17.075597465894273
10,3,10535,17.079833093157923
10,3,10540,17.136417626144976
10,3,10755,17.13305262265421
10,3,10760,17.161894767659813
10,3,10800,17.174137605154275
10,3,10805,17.241484239462586
10,3,10810,17.260880977181145
10,3,10845,17.263023535828793
10,3,10860,17.291904038549063
10,3,10900,17.29601893900257
10,3,10905,17.342298205791764
